RANK	LEMMA	FREQUENCY	RANGE	UDP
140	קרא	722.63	37324	106,028.92
141	חדש	736.64	37387	105,906.04
142	תמיד	715.90	37943	105,650.60
143	אחרי	712.94	37831	105,300.02
144	אבא	820.11	29216	103,670.52
145	בשביל	732.76	35703	103,305.56
146	האמין	691.02	37080	100,444.06
147	בעיה	687.42	36380	99,810.93
148	הכיר	677.77	36335	99,235.94
149	התכוון	697.25	35138	98,459.83
150	סיפר	691.75	35660	97,955.32
151	מר	757.16	26570	95,214.18
152	שלום	694.08	34158	94,865.61
153	תן	653.40	35753	94,253.34
154	אה	813.58	22759	93,461.70
155	בטח	643.27	35618	92,057.76
156	כסף	701.11	28087	90,607.92
157	שעה	629.52	34939	90,469.46
158	עבד	615.84	35370	89,600.67
159	הביא	608.22	36660	89,451.10
160	מדי	605.77	34092	88,988.08
161	נמצא	624.10	34685	88,554.51
162	בגלל	627.50	33952	88,193.45
163	אחרון	597.58	36237	87,766.60
164	הרג	665.89	29925	87,503.76
165	ספר	650.41	32397	87,101.46
166	מוכן	595.09	35648	87,047.02
167	עניין	596.93	34716	86,003.11
168	לקח	566.91	35652	83,585.74
169	גרם	572.16	35168	83,370.70
170	גבר	616.60	31398	82,991.22
171	סיבה	587.32	34419	82,978.18
172	לב	578.66	34293	82,220.28
173	ראש	577.71	33647	81,881.27
174	אפשר	577.08	33563	81,809.19
175	שאל	548.02	34201	80,204.19
176	חברה	581.20	31444	79,229.20
177	עמד	532.42	34456	78,025.07
178	אכל	545.16	34354	77,965.88
179	חדר	562.65	31987	77,850.34
180	קשה	520.41	34923	76,722.92
181	אדוני	617.58	23260	76,519.32
182	התחיל	515.97	35015	76,507.15
183	רב	537.32	32606	75,953.11
184	הניח	518.51	33988	75,032.29
185	עולם	548.18	31680	75,017.87
186	נשאר	507.27	33880	73,774.10
187	תראה	517.75	31667	73,242.61
188	שב	492.98	34110	72,989.04
189	מקרה	506.88	32986	72,812.54
190	משפחה	539.47	29823	72,784.69
191	בוקר	511.84	30693	72,209.75
192	עזאזל	517.82	28613	69,812.27
193	כלום	480.33	31268	68,572.37
194	חוץ	468.18	32860	68,572.21
195	נכנס	466.72	33029	68,256.57
196	שבוע	475.15	30773	68,134.99
197	הו	560.98	17359	67,849.84
198	הכי	479.66	31255	67,765.96
199	אמור	462.96	33337	67,605.95
200	די	474.97	31259	67,154.39
201	חושב	479.44	28956	66,446.25
202	עסק	471.81	29969	66,443.09
203	חלק	453.04	32785	66,248.29
204	סוף	453.48	31625	65,679.31
205	בת	483.08	28383	65,290.77
206	ביותר	456.85	28965	64,134.84
207	עזב	438.85	31038	63,029.01
208	מצב	434.39	31396	62,470.12
209	זהו	456.73	28003	62,452.11
210	אינו	502.82	22002	62,360.35
211	שמר	419.67	31883	61,599.30
212	פנים	428.38	31491	61,479.32
213	בלי	425.60	31103	61,449.68
214	יפה	430.19	29667	61,276.12
215	חיפש	427.55	31018	61,268.16
216	הביתה	429.84	29329	60,905.53
217	עובד	417.59	30543	60,455.00
218	עבור	443.04	24695	60,153.44
219	בין	411.64	31121	59,891.76
220	רע	411.00	30810	59,707.99
221	הפך	412.11	30971	59,488.44
222	אמת	419.64	29720	59,396.20
223	כאילו	422.08	30119	59,394.22
224	אוקיי	499.98	11607	59,144.42
225	כמובן	410.97	29256	58,631.74
226	עיר	433.88	26088	57,827.31
227	הספיק	389.09	31940	57,607.73
228	אוכל	407.47	29281	57,359.32
229	מעולם	398.10	28830	57,351.62
230	השתמש	395.83	30709	57,198.31
231	שמח	400.63	30078	57,072.51
232	זכר	397.52	29885	56,908.95
233	המשיך	385.28	30977	56,696.83
234	דקה	394.64	28622	56,299.13
235	אמיתי	392.30	29258	56,195.03
236	העליי	399.75	24793	56,037.05
237	יחיד	380.58	31360	55,808.32
238	בעל	395.08	27783	55,099.53
239	נהדר	398.01	26285	54,808.89
240	אכפת	375.84	29977	54,622.15
241	קודם	369.46	31900	54,390.60
242	אלו	412.35	21603	54,342.83
243	תוכנית	398.15	26625	54,262.49
244	כדאי	381.19	28723	54,141.97
245	משחק	418.83	24065	53,994.07
246	חשוב	364.04	29954	53,320.25
247	ביקש	367.36	28968	53,226.56
248	נעשה	363.45	30093	53,192.10
249	נשמע	360.32	30269	52,698.89
250	מכונית	406.22	21273	52,631.30
251	לעולם	367.12	28630	52,465.45
252	מספר	375.71	25912	52,401.84
253	סליחה	375.07	25859	51,849.38
254	נחמד	361.55	27659	51,636.20
255	התקשר	366.95	25533	51,491.69
256	עין	355.23	28544	51,095.14
257	קיווה	339.39	29695	49,882.57
258	סיפור	359.30	26111	49,756.49
259	שאלה	346.90	27781	49,697.00
260	בחור	353.18	25592	49,550.29
261	חכה	353.50	25911	49,428.77
262	קרוב	334.26	29164	49,081.52
263	שינה	333.20	29600	48,874.52
264	הפסיק	332.59	28808	48,461.70
265	לעזאזל	354.18	24177	48,195.05
266	הודה	338.13	26896	48,159.38
267	כתב	352.64	23615	48,051.14
268	עלה	327.08	28020	48,007.14
269	מהר	336.87	27051	47,727.53
270	מוות	348.60	24487	47,473.71
271	אופן	327.33	26925	47,198.15
272	טלפון	344.31	22700	46,849.00
273	ישן	324.50	27460	46,580.60
274	תרא	329.43	25651	46,288.16
275	מחר	325.52	25269	46,192.82
276	לאן	319.10	27273	46,008.24
277	בכלל	314.78	27698	45,909.59
278	אך	385.52	15600	45,620.53
279	כוח	340.59	23354	45,303.74
280	רעיון	312.93	26575	45,051.22
281	לגבי	325.87	23852	45,041.46
282	ילך	305.77	27026	44,598.31
283	עצר	313.61	26180	44,452.62
284	מוזר	313.45	25833	44,201.31
285	ללא	318.60	24590	44,127.48
286	מזל	305.24	26640	44,048.49
287	הצליח	305.24	25896	43,439.64
288	שנייה	302.19	26144	43,406.72
289	צדק	298.74	27334	43,322.78
290	גברת	331.04	20248	43,306.13
291	חיכה	295.03	27476	43,261.38
292	נוסף	303.43	25572	43,229.02
293	דלת	312.74	24076	43,186.33
294	אח	321.28	22129	43,183.74
295	חזרה	303.50	25849	43,145.96
296	חודש	301.43	24849	43,056.36
297	מתי	293.94	26975	42,811.45
298	חזק	298.58	25977	42,649.30
299	משטרה	323.01	18340	42,102.91
300	במקום	284.12	27901	42,077.75
301	סוג	294.47	24733	41,865.95
302	שיחק	302.95	23577	41,797.36
303	למד	294.15	24951	41,691.19
304	שלח	291.17	25495	41,631.27
305	חץ	288.29	25677	41,610.97
306	אחי	329.83	17859	41,573.60
307	דם	320.20	20297	41,477.92
308	חלה	310.72	21244	41,434.43
309	כמעט	281.40	27109	41,434.30
310	צוות	310.61	21080	41,346.42
311	ברור	286.40	25902	41,332.36
312	ערב	296.13	23196	41,310.28
313	וה	279.53	26863	41,281.91
314	דולר	314.65	18338	41,161.75
315	בחר	282.89	26160	41,120.38
316	חי	284.29	25663	40,760.78
317	כלל	278.64	25929	40,627.30
318	החזיק	282.37	25545	40,626.24
319	בדק	285.13	24773	40,478.32
320	לאחר	287.91	23190	40,342.26
321	כנראה	280.36	24952	40,073.26
322	כדור	303.73	20345	40,010.80
323	רוח	288.02	23413	39,800.36
324	הבחור	286.50	22331	39,689.71
325	מאוחר	269.37	25779	39,409.18
326	השאיר	268.59	26619	39,389.70
327	קנה	277.93	23964	39,203.17
328	רצח	310.41	16162	39,051.82
329	הוציא	266.24	25538	38,662.52
330	איתך	262.46	25409	38,471.02
331	מבין	260.84	25479	38,133.04
332	סיים	257.89	25437	37,552.96
333	התראה	266.97	22837	37,500.68
334	פחד	267.35	22795	37,440.14
335	שלוש	263.61	22791	37,439.85
336	למעשה	264.72	23015	37,394.30
337	משרד	277.96	19641	37,341.92
338	ככה	261.25	23796	37,325.42
339	שילם	265.52	22382	37,304.84
340	כאשר	289.88	15772	37,203.37
341	גרוע	254.92	25267	36,893.79
342	כבוד	266.43	21817	36,857.39
343	הבטיח	255.29	24500	36,843.15
344	חסר	252.86	24559	36,622.96
345	תמונה	268.53	20845	36,579.12
346	מלא	248.01	25189	36,390.04
347	לכן	257.71	22825	36,356.69
348	לבד	253.05	24642	36,334.20
349	שוטר	290.24	14924	36,263.50
350	איבד	251.51	24396	36,235.05
351	נסע	264.57	20354	36,215.36
352	השיג	249.66	23811	35,891.45
353	לגמרי	251.39	23158	35,749.77
354	החוצה	252.68	22603	35,733.34
355	לפחות	241.21	25727	35,549.87
356	נ	242.49	24902	35,447.84
357	במשך	244.12	23392	35,168.03
358	פרק	246.34	27236	35,138.22
359	איתי	241.34	24239	35,115.36
360	חושבת	248.37	22479	34,933.82
361	פגע	245.53	23466	34,885.83
362	הת	238.73	24614	34,765.13
363	בחייך	250.63	20788	34,647.91
364	סרט	270.08	16423	34,209.10
365	שכח	234.51	23959	34,131.92
366	בבקש	236.31	23109	34,115.62
367	צעיר	242.48	21498	34,054.05
368	ישב	233.75	23369	33,963.80
369	בהחלט	236.73	22666	33,917.54
370	שונה	235.15	23096	33,823.17
371	קח	237.86	21743	33,700.21
372	א	246.98	20598	33,669.57
373	צריכה	242.19	21649	33,561.11
374	מעל	233.18	22991	33,324.40
375	קל	227.86	24171	33,263.27
376	מטה	240.09	20269	33,183.99
377	ותק	249.98	18007	33,124.56
378	לשם	225.19	24044	33,098.96
379	אהבה	249.54	18292	33,084.77
380	יחד	234.73	21633	33,047.58
381	קורה	230.18	23024	32,834.36
382	הקשיב	228.03	22621	32,779.88
383	אתמול	234.91	21452	32,769.90
384	מילה	229.60	22043	32,737.27
385	נקודה	231.75	21657	32,715.73
386	הכול	269.42	11674	32,670.68
387	צורה	229.16	22438	32,619.72
388	נגע	235.17	21069	32,512.80
389	בלתי	227.90	21790	32,316.19
390	מים	241.56	18838	32,195.27
391	למעלה	229.19	20843	32,169.08
392	מושג	222.77	23299	32,167.89
393	פתח	224.93	22423	32,150.08
394	נהג	228.98	20845	32,114.59
395	סתם	226.73	21609	32,045.04
396	היכן	249.05	16013	32,042.37
397	סלח	226.18	21207	31,969.96
398	הסתכל	221.65	22239	31,936.39
399	בתוך	224.12	21982	31,825.03
400	כוונה	219.25	23367	31,815.50
401	מייד	221.99	21960	31,754.50
402	מערכת	236.45	18981	31,750.62
403	נגמר	221.22	22750	31,673.90
404	הזדמנות	220.09	22444	31,575.73
405	תינוק	253.53	14886	31,544.58
406	הראה	216.72	22842	31,463.59
407	הערב	232.61	18671	31,374.79
408	עזרה	218.48	23031	31,327.98
409	אלא	215.41	22893	31,217.37
410	אתן	220.47	21524	31,029.50
411	סיכוי	216.52	22067	30,832.27
412	הפעם	211.44	23297	30,806.02
413	ניצח	225.98	19665	30,796.91
414	הציל	227.24	19759	30,788.14
415	נשק	231.36	18112	30,773.61
416	רופא	234.77	16659	30,569.07
417	שלושה	216.13	20973	30,552.98
418	י	217.36	20366	30,142.76
419	קול	224.59	17953	29,974.60
420	אוי	231.73	16449	29,966.62
421	כאב	216.83	19849	29,820.81
422	שתי	206.35	21679	29,695.86
423	אעשה	203.70	22636	29,539.90
424	כפי	210.91	19918	29,424.98
425	רציני	204.36	21409	29,310.72
426	הציע	205.25	21157	29,234.52
427	וואו	227.03	15605	29,183.80
428	כלא	224.46	15589	29,175.10
429	אדיר	218.21	17816	29,119.99
430	כלומר	219.69	16988	29,060.04
431	דין	226.93	14317	28,825.21
432	ביחד	208.36	19338	28,684.00
433	בעוד	200.88	21239	28,641.30
434	כרגע	205.01	19976	28,513.72
435	שיר	220.27	15685	28,468.29
436	מלחמה	222.93	14580	28,291.00
437	דעה	198.70	20700	28,162.33
438	כלב	222.64	14561	28,161.94
439	לפעמים	197.11	21002	28,138.62
440	כעת	223.23	14172	28,112.22
441	נעלם	202.86	19993	28,095.16
442	שיחה	200.39	19897	28,067.30
443	למען	200.50	19906	28,020.53
444	חמש	200.75	19160	27,981.72
445	רחוב	206.14	17507	27,813.91
446	נורא	198.72	19735	27,792.23
447	שניים	193.25	20788	27,652.46
448	מיוחד	196.17	20056	27,599.23
449	האליי	199.52	18630	27,555.89
450	ירד	192.70	20241	27,389.68
451	ודה	190.54	21077	27,347.06
452	קבוצה	209.25	15813	27,177.08
453	שאר	190.62	20718	27,160.26
454	זונה	207.61	15443	27,136.14
455	שכן	190.95	21089	27,135.19
456	נגד	196.68	18684	27,078.49
457	אלי	191.31	19944	26,985.67
458	יצר	197.48	18486	26,925.73
459	יופי	199.93	18075	26,916.58
460	ארץ	206.49	15669	26,750.94
461	מדינה	201.80	15768	26,725.20
462	תפס	189.40	20032	26,709.99
463	חוק	198.36	17001	26,665.18
464	גר	194.35	17985	26,457.55
465	החזיר	185.84	20104	26,053.44
466	גש	183.49	19488	25,872.35
467	אקדח	206.18	12963	25,829.10
468	שה	179.04	20798	25,746.59
469	מידע	194.28	16139	25,694.72
470	טיפל	182.77	19710	25,625.25
471	משפט	202.09	13243	25,502.57
472	גנב	189.43	17273	25,454.84
473	מסוגל	183.37	18869	25,425.40
474	תורגם	183.74	19872	25,182.90
475	ארוחה	182.99	18292	25,096.14
476	שקט	180.46	18622	25,074.92
477	צד	178.71	19226	24,993.82
478	אש	192.82	15071	24,903.81
479	מצטער	177.03	19572	24,824.49
480	אב	187.02	16121	24,752.28
481	ליד	173.76	20052	24,667.90
482	טעות	175.47	19445	24,620.91
483	פחות	172.52	19982	24,539.97
484	רגיל	173.06	19572	24,453.20
485	תיק	189.62	14271	24,444.04
486	גבוה	173.98	18756	24,392.46
487	מלך	207.75	9924	24,234.01
488	מדוע	192.68	12801	24,156.73
489	ניתן	171.44	18888	23,988.53
490	הגן	175.92	17830	23,933.98
491	הצלחה	169.09	19333	23,899.78
492	מספיק	167.51	20251	23,880.50
493	רכב	182.51	15119	23,842.73
494	כיוון	173.34	17992	23,836.28
495	פשע	183.46	14565	23,830.07
496	הורה	178.63	16310	23,742.47
497	הסכים	169.25	18770	23,706.65
498	הוריד	169.55	18273	23,499.72
499	לחץ	172.52	17264	23,480.23
500	דאג	169.20	18349	23,357.49
501	יכולת	166.59	19032	23,302.07
502	נפלא	174.49	16076	23,298.72
503	תדאג	164.66	19026	23,015.10
504	תחת	164.84	17993	22,927.89
505	הכין	165.99	18648	22,920.72
506	עץ	176.20	14898	22,901.55
507	הודעה	169.29	16692	22,803.00
508	חרא	184.92	11147	22,743.92
509	מוח	172.45	15815	22,731.49
510	מטרה	170.87	15951	22,708.94
511	גוף	170.08	16491	22,704.01
512	הא	178.76	12766	22,467.57
513	אצל	162.63	17589	22,416.64
514	מצחיק	163.76	16994	22,215.93
515	שנא	162.46	17318	22,179.80
516	לפ	160.76	17418	22,154.31
517	בגד	161.62	17232	22,057.70
518	סימן	162.60	16983	22,005.76
519	שווה	157.99	18112	21,964.90
520	קטע	164.09	16392	21,940.73
521	דוד	177.08	12007	21,892.81
522	עלול	158.56	17521	21,732.89
523	רוב	158.26	17127	21,717.56
524	כוכב	174.76	12372	21,684.59
525	העביר	155.94	17975	21,654.58
526	אפשרי	156.08	17658	21,533.04
527	פגישה	163.23	15003	21,525.77
528	אור	159.84	16257	21,492.34
529	מין	160.27	15961	21,412.36
530	ביי	167.40	12971	21,361.19
531	מנהל	163.33	14360	21,346.57
532	בנה	155.16	17246	21,258.71
533	ארוך	151.52	18330	21,245.24
534	זוכר	156.21	16942	21,175.54
535	תפקיד	158.07	15537	21,088.01
536	נעל	157.99	15835	21,039.47
537	ציפה	149.55	18426	20,981.28
538	מוקדם	149.54	18294	20,918.57
539	בקרוב	150.88	18039	20,845.83
540	מתוק	158.32	15261	20,818.09
541	הסביר	149.51	17836	20,770.69
542	אסור	152.51	16451	20,551.71
543	איתן	151.03	16540	20,453.49
544	לבש	151.09	16629	20,447.32
545	לפי	150.84	16438	20,426.84
546	מעבר	148.95	16944	20,415.67
547	דירה	160.75	13077	20,404.80
548	סם	166.80	10829	20,336.70
549	רחוק	147.68	17301	20,331.26
550	שתיים	151.05	15645	20,273.31
551	ניו	163.64	11132	20,272.95
552	בדיקה	158.91	13232	20,266.49
553	מאשר	145.52	17633	20,242.52
554	זוג	152.22	15370	20,178.23
555	עובדה	145.57	17294	20,159.08
556	הופיע	146.45	16743	20,067.84
557	אוויר	151.69	14943	20,004.89
558	החלטה	148.45	15978	20,004.06
559	זז	148.03	16105	19,943.30
560	גידי	149.70	15672	19,940.37
561	מעט	146.86	16294	19,918.81
562	כרטיס	153.30	13967	19,915.97
563	טיפש	147.63	16103	19,894.76
564	מפה	152.42	14189	19,813.95
565	שירות	148.24	15767	19,803.99
566	אישי	143.37	16623	19,654.34
567	ערך	143.65	16806	19,629.98
568	קיים	144.55	16353	19,591.61
569	שחור	151.78	13552	19,568.42
570	עורך	154.40	12270	19,564.62
571	זקוק	146.62	15699	19,544.02
572	בחורה	149.06	14657	19,543.95
573	התמודד	143.53	16712	19,517.27
574	נלחם	150.51	13749	19,341.28
575	מיטה	145.10	15212	19,256.18
576	הזמין	141.84	16304	19,217.46
577	מתחת	140.67	16600	19,147.46
578	מחדש	141.67	16186	19,137.04
579	אלך	139.13	17337	19,077.20
580	מפקד	169.23	6732	19,031.79
581	אימא	170.32	6297	18,948.91
582	המ	143.47	14494	18,834.71
583	הלו	145.96	13386	18,822.25
584	משך	137.63	16544	18,810.59
585	מהלך	140.43	15503	18,797.20
586	בערך	137.83	16236	18,769.03
587	חומר	143.05	14014	18,692.30
588	אית	135.28	17189	18,673.98
589	חלום	146.78	12785	18,651.13
590	שחרר	139.94	15146	18,509.63
591	בתור	137.75	15608	18,417.04
592	ברח	138.25	15514	18,392.03
593	שולחן	138.30	14963	18,390.26
594	הוטרף	136.60	15580	18,325.60
595	נפגש	134.66	16054	18,303.86
596	למרות	135.05	16043	18,296.82
597	צעד	136.83	15122	18,273.83
598	צוחק	140.05	13873	18,252.69
599	קפה	141.11	13261	18,171.09
600	שאמר	131.03	17308	18,158.57
601	מאחורי	132.70	16436	18,117.82
602	יחסים	137.74	13752	17,848.19
603	גב	139.40	12727	17,799.65
604	חג	154.76	7682	17,735.78
605	מס	144.25	10714	17,697.20
606	חדשות	132.52	15380	17,684.76
607	לבן	134.60	14048	17,672.25
608	נרגע	134.64	14117	17,651.29
609	ספק	130.46	15635	17,642.46
610	מושלם	131.33	15526	17,632.35
611	צהריים	131.93	14887	17,598.78
612	רשימה	136.18	13403	17,594.75
613	גמור	130.97	14927	17,456.99
614	יורק	143.43	9829	17,434.56
615	חשבון	131.59	14268	17,373.51
616	זכות	131.24	14256	17,366.56
617	שר	142.37	10350	17,362.96
618	ארבע	130.65	14298	17,328.25
619	התאים	127.22	16114	17,305.27
620	עלייך	131.93	14499	17,246.79
621	חם	129.91	14682	17,242.57
622	שלומך	130.64	13675	17,222.87
623	עתיד	133.23	13385	17,180.78
624	נפל	127.96	15183	17,180.54
625	ים	138.23	11409	17,121.31
626	הכניס	125.56	15835	17,079.77
627	ברוך	128.21	14984	17,074.61
628	טעם	127.69	15311	17,071.57
629	כיף	131.81	14072	17,065.65
630	נשיא	151.43	6364	17,038.40
631	תא	134.30	12524	16,978.58
632	סביבה	126.17	15259	16,969.43
633	נהנה	126.79	15334	16,940.34
634	חמוד	130.86	13620	16,890.01
635	רצינות	126.73	15123	16,885.75
636	קו	130.14	13233	16,876.31
637	קפטן	151.94	6009	16,848.27
638	תחנה	132.88	12378	16,835.83
639	מיליון	134.79	10942	16,820.80
640	תקשיב	127.70	14245	16,801.39
641	זקן	130.64	12838	16,747.65
642	הוביל	125.32	14940	16,687.58
643	מאה	126.35	14247	16,677.42
644	אמצע	122.43	15917	16,665.68
645	זכה	128.73	13316	16,657.83
646	משימה	135.30	11277	16,655.25
647	מותק	132.18	12259	16,611.76
648	סמך	125.34	14787	16,598.62
649	מטוס	140.52	8624	16,593.01
650	מיני	125.26	14421	16,494.92
651	אזור	127.80	13129	16,439.94
652	פנימה	123.61	14506	16,415.87
653	חנות	129.09	12676	16,402.96
654	פעולה	124.84	13885	16,366.53
655	שטח	127.03	13205	16,338.87
656	הרגל	123.80	14088	16,306.13
657	סבל	122.28	14809	16,303.65
658	תשובה	121.96	14878	16,263.69
659	אקח	119.79	15773	16,225.58
660	עשר	123.75	13697	16,197.07
661	תפסיק	123.12	13940	16,126.21
662	הזכיר	118.09	15934	16,081.89
663	נשא	121.55	13857	15,973.28
664	ן	118.91	15104	15,938.03
665	נקרא	118.08	15250	15,882.33
666	אבי	130.11	10450	15,857.54
667	מכר	121.68	13216	15,842.08
668	ראייה	126.22	11606	15,827.21
669	צא	122.33	13087	15,785.69
670	לתוך	119.92	14037	15,756.47
671	כה	123.13	12452	15,657.72
672	הצטרך	116.10	15287	15,646.91
673	החליט	116.23	14991	15,612.97
674	ביצע	119.32	13684	15,599.03
675	בניין	125.13	11215	15,544.10
676	מול	117.33	14323	15,530.03
677	קצר	115.08	15089	15,517.74
678	מחשב	129.25	9644	15,504.76
679	נעים	117.80	13761	15,494.13
680	במיוחד	114.45	15147	15,460.49
681	מלון	126.80	9865	15,419.08
682	המון	118.28	13256	15,360.30
683	אדום	120.91	11969	15,329.05
684	שן	115.04	15141	15,327.05
685	מוצא	114.63	14629	15,319.49
686	שייך	116.56	14040	15,313.17
687	הבחורה	120.11	12398	15,280.28
688	בצד	114.58	14506	15,262.39
689	ניסיון	114.03	14770	15,245.69
690	תרופה	126.29	10022	15,244.60
691	חקירה	125.22	10087	15,243.61
692	שש	117.74	12825	15,190.30
693	עשוי	117.16	13352	15,169.71
694	יחידה	119.76	12092	15,144.45
695	החליף	113.59	14641	15,130.44
696	התחלה	112.05	15161	15,125.40
697	גילה	113.89	14658	15,121.56
698	תוך	114.03	14170	15,109.20
699	חתיכה	115.55	13661	15,101.00
700	אתר	119.61	12246	15,089.12
701	נוח	113.84	14384	15,081.07
702	חתך	115.55	13556	15,078.73
703	צבע	118.29	12078	15,038.51
704	מצוין	117.77	12431	15,035.63
705	צורך	112.41	14581	14,963.92
706	אדון	124.45	9232	14,930.77
707	שער	119.87	11155	14,928.20
708	יקר	112.60	14095	14,892.74
709	העדיף	111.09	14882	14,882.73
710	ככל	111.53	14377	14,824.95
711	מסוכן	113.11	13987	14,810.44
